"","acceptedNameUsage","accessRights","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","crawlId","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationAccordingTo","locationID","lon","modified","month","municipality","nameAccordingTo","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","occurrenceID","occurrenceRemarks","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate"
"1",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"9379434","Pinopsida",194,"United States","Observations",NA,NA,NA,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2018-01-06T05:17:05.000+0000",5,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-05T14:34:00.000+0000",NA,"22:34:00Z","Pinaceae",3925,NA,NA,"United States","1802779720","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/9379434","20443847",NA,NA,NA,NA,"9379434",NA,NA,NA,"iNaturalist",NA,"US",1802779720,"Plantae",6,NA,"2018-02-15T09:28:21.899+0000","2018-02-02T17:13:29.196+0000","2018-01-11T09:18:24.477+0000",39.539538,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-120.029882,"2018-01-06T05:23:41.000+0000",1,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/9379434","Not far up the road, Jeffrey pine replaced Ponderosa.","Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Chauncey",NA,"https://www.inaturalist.org/observations/9379434",NA,"© Chauncey some rights reserved","Chauncey",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2018/01/05 2:34 PM PST","Sierra, Toiyabe National Forest, California, United States",NA,2018,2018-03-05
"2",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5026320","Pinopsida",194,"United States","Observations",NA,NA,956,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-02-01T00:26:11.000+0000",29,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-29T14:08:00.000+0000",NA,"22:08:00Z","Pinaceae",3925,NA,NA,"United States","1453389031","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5026320","10217244",NA,NA,NA,NA,"5026320",NA,NA,NA,"iNaturalist",NA,"US",1453389031,"Plantae",6,NA,"2018-02-15T09:17:27.732+0000","2018-02-03T05:39:09.074+0000","2018-01-11T08:34:42.480+0000",39.199669,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-121.047197,"2017-06-24T01:45:37.000+0000",1,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5026320","the tree in the center in the third photo","Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","paloma",NA,"https://www.inaturalist.org/observations/5026320",NA,"© paloma some rights reserved","paloma",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017/01/29 2:08 PM PST","Empire Mine State Historic Park, CA, US",NA,2017,2018-03-05
"3",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"4906614","Pinopsida",194,"United States","Observations",NA,NA,NA,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-01-07T07:14:32.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-01T14:36:32.000+0000",NA,"00:36:32Z","Pinaceae",3925,NA,NA,"United States","1453335117","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/4906614","9856721",NA,NA,NA,NA,"4906614",NA,NA,NA,"iNaturalist",NA,"US",1453335117,"Plantae",6,NA,"2018-02-15T09:17:08.378+0000","2018-02-03T05:38:45.091+0000","2018-01-11T08:34:18.581+0000",37.187193,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-121.544478,"2017-01-07T17:07:24.000+0000",1,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/4906614",NA,"Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","chhaprahiya",NA,"https://www.inaturalist.org/observations/4906614",NA,"© chhaprahiya some rights reserved","chhaprahiya",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017-01-01 14:36:32","Henry W. Coe, Henry W. Coe State Park, Santa Clara, California, United States",NA,2017,2018-03-05
"4",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5026717","Pinopsida",194,"United States","Observations",NA,NA,956,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-01-30T04:46:36.000+0000",29,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-29T14:55:00.000+0000",NA,"22:55:00Z","Pinaceae",3925,NA,NA,"United States","1453388849","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5026717","10191312",NA,NA,NA,NA,"5026717",NA,NA,NA,"iNaturalist",NA,"US",1453388849,"Plantae",6,NA,"2018-02-15T09:17:27.790+0000","2018-02-03T05:39:09.049+0000","2018-01-11T08:34:42.533+0000",39.199669,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-121.047197,"2017-01-31T21:22:11.000+0000",1,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5026717","the tree in the center in the second and third photos","Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","paloma",NA,"https://www.inaturalist.org/observations/5026717",NA,"© paloma some rights reserved","paloma",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017/01/29 2:55 PM PST","Empire Mine State Historic Park, CA, US",NA,2017,2018-03-05
"5",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5192833","Pinopsida",194,"United States","Observations",NA,NA,212,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-02-27T18:56:45.000+0000",26,NA,NA,NA,NA,NA,NA,NA,NA,"2017-02-26T00:00:00.000+0000",NA,NA,"Pinaceae",3925,NA,NA,"United States","1500221814","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5192833","10653728",NA,NA,NA,NA,"5192833",NA,NA,NA,"iNaturalist",NA,"US",1500221814,"Plantae",6,NA,"2018-02-15T09:17:53.559+0000","2018-02-04T18:06:24.217+0000","2018-01-11T08:35:16.995+0000",37.037489,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-122.04966,"2017-04-28T03:16:59.000+0000",2,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5192833",NA,"Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","alan_rockefeller",NA,"https://www.inaturalist.org/observations/5192833",NA,"© alan_rockefeller some rights reserved","alan_rockefeller",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017-02-26","Henry Cowell State Park",NA,2017,2018-03-05
"6",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5389591","Pinopsida",194,"United States","Observations",NA,NA,10,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-04-25T23:41:34.000+0000",18,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-18T11:00:12.000+0000",NA,"18:00:12Z","Pinaceae",3925,NA,NA,"United States","1500222660","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5389591","12282153",NA,NA,NA,NA,"5389591",NA,NA,NA,"iNaturalist",NA,"US",1500222660,"Plantae",6,NA,"2018-02-15T09:18:19.271+0000","2018-02-04T18:06:20.761+0000","2018-01-11T08:35:46.842+0000",39.26796,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-121.034469,"2017-04-25T23:41:34.000+0000",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5389591",NA,"Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Whitney Christine",NA,"https://www.inaturalist.org/observations/5389591",NA,"© Whitney Christine some rights reserved","Whitney Christine",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"Sat Mar 18 2017 11:00:12 GMT-0700 (PDT)","15475 State Highway 49, Nevada City, CA, US",NA,2017,2018-03-05
"7",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5279673","Pinopsida",194,"United States","Observations",NA,NA,NA,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-04-24T03:36:22.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-10T11:23:00.000+0000",NA,"19:23:00Z","Pinaceae",3925,NA,NA,"United States","1500222186","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5279673","10884735",NA,NA,NA,NA,"5279673",NA,NA,NA,"iNaturalist",NA,"US",1500222186,"Plantae",6,NA,"2018-02-15T09:18:04.693+0000","2018-02-04T18:06:19.191+0000","2018-01-11T08:35:33.689+0000",34.298333,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-118.014444,"2017-04-24T00:19:34.000+0000",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5279673","OLYMPUS DIGITAL CAMERA","Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","yetikat",NA,"https://www.inaturalist.org/observations/5279673",NA,"© yetikat some rights reserved","yetikat",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017/03/10 11:23 AM PST","Charlton Flats, Los Angeles County, CA, USA",NA,2017,2018-03-05
"8",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5473239","Pinopsida",194,"United States","Observations",NA,NA,8,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-03-27T03:47:56.000+0000",26,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-26T10:37:20.000+0000",NA,"17:37:20Z","Pinaceae",3925,NA,NA,"United States","1455582618","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5473239","11289146",NA,NA,NA,NA,"5473239",NA,NA,NA,"iNaturalist",NA,"US",1455582618,"Plantae",6,NA,"2018-02-15T09:18:39.498+0000","2018-02-03T18:15:57.579+0000","2018-01-11T08:36:02.770+0000",38.360379,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-120.595877,"2017-03-27T04:49:23.000+0000",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5473239",NA,"Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Ken-ichi Ueda",NA,"https://www.inaturalist.org/observations/5473239",NA,"by Ken-ichi Ueda no rights reserved","Ken-ichi Ueda",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017-03-26 10:37:20 AM PDT","Number 5 Ditch Road Glencoe, CA 95232",NA,2017,2018-03-05
"9",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5389641","Pinopsida",194,"United States","Observations",NA,NA,10,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-04-25T23:41:02.000+0000",18,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-18T11:09:57.000+0000",NA,"18:09:57Z","Pinaceae",3925,NA,NA,"United States","1500222661","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5389641","12282133",NA,NA,NA,NA,"5389641",NA,NA,NA,"iNaturalist",NA,"US",1500222661,"Plantae",6,NA,"2018-02-15T09:18:19.311+0000","2018-02-04T18:06:21.383+0000","2018-01-11T08:35:46.847+0000",39.26792,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-121.035135,"2017-04-25T23:41:03.000+0000",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5389641",NA,"Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Whitney Christine",NA,"https://www.inaturalist.org/observations/5389641",NA,"© Whitney Christine some rights reserved","Whitney Christine",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"Sat Mar 18 2017 11:09:57 GMT-0700 (PDT)","15475 State Highway 49, Nevada City, CA, US",NA,2017,2018-03-05
"10",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"5959916","Pinopsida",194,"United States","Observations",NA,NA,18,"United States",98,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-04-26T00:52:17.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,"2017-04-10T15:17:00.000+0000",NA,"22:17:00Z","Pinaceae",3925,NA,NA,"United States","1500314912","Pinus","Pinus",2684241,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5959916","12284421",NA,NA,NA,NA,"5959916",NA,NA,NA,"iNaturalist",NA,"US",1500314912,"Plantae",6,NA,"2018-02-15T09:19:49.945+0000","2018-02-04T18:06:59.405+0000","2018-01-11T08:37:23.677+0000",37.74752,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,-119.585404,"2017-08-01T02:29:40.000+0000",4,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5959916","The pine tree was narrow, tall, and had the characteristic ""puzzle-piece"" bark. The needles were in bundles of three, and the pine cones were prickly on the outside. Several individuals formed this Lower Montane Forest canopy.","Pinales",640,NA,NA,NA,NA,"Tracheophyta",7707728,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Diego Tamayo",NA,"https://www.inaturalist.org/observations/5959916",NA,"© Diego Tamayo some rights reserved","Diego Tamayo",NA,"Pinus ponderosa Douglas ex P.Lawson & C.Lawson",NA,NA,"Pinus ponderosa",5285053,"ponderosa",NA,"48461",5285053,NA,"SPECIES",NA,NA,NA,NA,"2017/04/10 3:17 PM PDT","Yosemite Valley, CA 95389, USA",NA,2017,2018-03-05
